NAICS,Description of NAICS,Set-Aside
531210,Offices of Real Estate Agents and Brokers,WOSB
531311,Residential Property Managers,WOSB
531312,Nonresidential Property Managers,WOSB
531320,Offices of Real Estate Appraisers,WOSB
531390,Other Activities Related to Real Estate,WOSB
532111,Passenger Car Rental,WOSB
532112,Passenger Car Leasing,WOSB
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",WOSB
532210,Consumer Electronics and Appliances Rental,WOSB
532281,Formal Wear and Costume Rental,WOSB
532282,Video Tape and Disc Rental,WOSB
532283,Home Health Equipment Rental,WOSB
532284,Recreational Goods Rental,WOSB
532289,All Other Consumer Goods Rental,WOSB
532310,General Rental Centers,WOSB
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",WOSB
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",WOSB
532420,Office Machinery and Equipment Rental and Leasing,WOSB
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,WOSB
541110,Offices of Lawyers,WOSB
541120,Offices of Notaries,WOSB
541191,Title Abstract and Settlement Offices,WOSB
541199,All Other Legal Services,WOSB
541211,Offices of Certified Public Accountants,WOSB
541213,Tax Preparation Services,WOSB
541214,Payroll Services,WOSB
541219,Other Accounting Services,WOSB
541310,Architectural Services,WOSB
541320,Landscape Architectural Services,WOSB
541330,Engineering Services,WOSB
541340,Drafting Services,WOSB
541350,Building Inspection Services,WOSB
541360,Geophysical Surveying and Mapping Services,WOSB
541370,Surveying and Mapping (except Geophysical) Services,WOSB
541380,Testing Laboratories,WOSB
541511,Custom Computer Programming Services,WOSB
541512,Computer Systems Design Services,WOSB
541513,Computer Facilities Management Services,WOSB
541519,Other Computer Related Services,WOSB
541611,Administrative Management and General Management Consulting Services,WOSB
541612,Human Resources Consulting Services,WOSB
541613,Marketing Consulting Services,WOSB
541614,"Process, Physical Distribution, and Logistics Consulting Services",WOSB
541618,Other Management Consulting Services,WOSB
541620,Environmental Consulting Services,WOSB
541690,Other Scientific and Technical Consulting Services,WOSB
541713,Research and Development in Nanotechnology,WOSB
541714,Research and Development in Biotechnology (except Nanobiotechnology),WOSB
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",WOSB
541720,Research and Development in the Social Sciences and Humanities,WOSB
541810,Advertising Agencies,WOSB
541820,Public Relations Agencies,WOSB
541830,Media Buying Agencies,WOSB
541840,Media Representatives,WOSB
541850,Outdoor Advertising,WOSB
541860,Direct Mail Advertising,WOSB
541870,Advertising Material Distribution Services,WOSB
541890,Other Services Related to Advertising,WOSB
541910,Marketing Research and Public Opinion Polling,WOSB
541921,"Photography Studios, Portrait",WOSB
541922,Commercial Photography,WOSB
541930,Translation and Interpretation Services,WOSB
541940,Veterinary Services,WOSB
541990,"All Other Professional, Scientific, and Technical Services",WOSB
561110,Office Administrative Services,WOSB
561210,Facilities Support Services,WOSB
561311,Employment Placement Agencies,WOSB
561312,Executive Search Services,WOSB
561320,Temporary Help Services,WOSB
561330,Professional Employer Organizations,WOSB
561410,Document Preparation Services,WOSB
561421,Telephone Answering Services,WOSB
561422,Telemarketing Bureaus and Other Contact Centers,WOSB
561431,Private Mail Centers,WOSB
561439,Other Business Service Centers (including Copy Shops),WOSB
561440,Collection Agencies,WOSB
561450,Credit Bureaus,WOSB
561491,Repossession Services,WOSB
561492,Court Reporting and Stenotype Services,WOSB
561499,All Other Business Support Services,WOSB
561510,Travel Agencies,WOSB
561520,Tour Operators,WOSB
561591,Convention and Visitors Bureaus,WOSB
561599,All Other Travel Arrangement and Reservation Services,WOSB
561611,Investigation Services,WOSB
561612,Security Guards and Patrol Services,WOSB
561613,Armored Car Services,WOSB
561621,Security Systems Services (except Locksmiths),WOSB
561622,Locksmiths,WOSB
561710,Exterminating and Pest Control Services,EDWOSB
561720,Janitorial Services,EDWOSB
561730,Landscaping Services,EDWOSB
561740,Carpet and Upholstery Cleaning Services,EDWOSB
561790,Other Services to Buildings and Dwellings,EDWOSB
561910,Packaging and Labeling Services,WOSB
561920,Convention and Trade Show Organizers,WOSB
561990,All Other Support Services,WOSB
562111,Solid Waste Collection,EDWOSB
562112,Hazardous Waste Collection,EDWOSB
562119,Other Waste Collection,EDWOSB
562910,Remediation Services,WOSB
562920,Materials Recovery Facilities,WOSB
562991,Septic Tank and Related Services,WOSB
562998,All Other Miscellaneous Waste Management Services,WOSB
611110,Elementary and Secondary Schools,WOSB
611210,Junior Colleges,WOSB
611310,"Colleges, Universities, and Professional Schools",WOSB
611410,Business and Secretarial Schools,WOSB
611420,Computer Training,WOSB
611430,Professional and Management Development Training,WOSB
611511,Cosmetology and Barber Schools,WOSB
611512,Flight Training,WOSB
611513,Apprenticeship Training,WOSB
611519,Other Technical and Trade Schools,WOSB
611710,Educational Support Services,WOSB
621111,Offices of Physicians (except Mental Health Specialists),WOSB
621112,"Offices of Physicians, Mental Health Specialists",WOSB
621310,Offices of Chiropractors,EDWOSB
621320,Offices of Optometrists,EDWOSB
621330,Offices of Mental Health Practitioners (except Physicians),EDWOSB
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",EDWOSB
621391,Offices of Podiatrists,EDWOSB
621399,Offices of All Other Miscellaneous Health Practitioners,EDWOSB
621410,Family Planning Centers,WOSB
621420,Outpatient Mental Health and Substance Abuse Centers,WOSB
621491,HMO Medical Centers,WOSB
621492,Kidney Dialysis Centers,WOSB
621493,Freestanding Ambulatory Surgical and Emergency Centers,WOSB
621498,All Other Outpatient Care Centers,WOSB
621511,Medical Laboratories,WOSB
621512,Diagnostic Imaging Centers,WOSB
621610,Home Health Care Services,WOSB
621910,Ambulance Services,WOSB
621991,Blood and Organ Banks,WOSB
621999,All Other Miscellaneous Ambulatory Health Care Services,WOSB
622110,General Medical and Surgical Hospitals,WOSB
623110,Nursing Care Facilities (Skilled Nursing Facilities),WOSB
623210,Residential Intellectual and Developmental Disability Facilities,WOSB
623220,Residential Mental Health and Substance Abuse Facilities,WOSB
623990,Other Residential Care Facilities,WOSB
624110,Child and Youth Services,WOSB
624120,Services for the Elderly and Persons with Disabilities,WOSB
624190,Other Individual and Family Services,WOSB
624210,Community Food Services,WOSB
624221,Temporary Shelters,WOSB
624229,Other Community Housing Services,WOSB
624230,Emergency and Other Relief Services,WOSB
624310,Vocational Rehabilitation Services,WOSB
624410,Child Day Care Services,EDWOSB
711211,Sports Teams and Clubs,WOSB
711212,Racetracks,WOSB
711219,Other Spectator Sports,WOSB
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",WOSB
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",WOSB
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",WOSB
711510,"Independent Artists, Writers, and Performers",WOSB
712110,Museums,EDWOSB
712120,Historical Sites,EDWOSB
712130,Zoos and Botanical Gardens,EDWOSB
712190,Nature Parks and Other Similar Institutions,EDWOSB
713110,Amusement and Theme Parks,WOSB
713120,Amusement Arcades,WOSB
713910,Golf Courses and Country Clubs,WOSB
713920,Skiing Facilities,WOSB
713930,Marinas,WOSB
713940,Fitness and Recreational Sports Centers,WOSB
713950,Bowling Centers,WOSB
713990,All Other Amusement and Recreation Industries,WOSB
721110,Hotels (except Casino Hotels) and Motels,EDWOSB
721120,Casino Hotels,EDWOSB
721191,Bed-and-Breakfast Inns,EDWOSB
721199,All Other Traveler Accommodation,EDWOSB
721211,RV (Recreational Vehicle) Parks and Campgrounds,EDWOSB
721214,Recreational and Vacation Camps (except Campgrounds),EDWOSB
722310,Food Service Contractors,WOSB
722320,Caterers,WOSB
722330,Mobile Food Services,WOSB
722511,Full-Service Restaurants,WOSB
722513,Limited-Service Restaurants,WOSB
722514,"Cafeterias, Grill Buffets, and Buffets",WOSB
722515,Snack and Nonalcoholic Beverage Bars,WOSB
811211,Consumer Electronics Repair and Maintenance,WOSB
811212,Computer and Office Machine Repair and Maintenance,WOSB
811213,Communication Equipment Repair and Maintenance,WOSB
811219,Other Electronic and Precision Equipment Repair and Maintenance,WOSB
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,WOSB
811411,Home and Garden Equipment Repair and Maintenance,EDWOSB
811412,Appliance Repair and Maintenance,EDWOSB
811420,Reupholstery and Furniture Repair,EDWOSB
811430,Footwear and Leather Goods Repair,EDWOSB
811490,Other Personal and Household Goods Repair and Maintenance,EDWOSB
812111,Barber Shops,EDWOSB
812112,Beauty Salons,EDWOSB
812113,Nail Salons,EDWOSB
812191,Diet and Weight Reducing Centers,EDWOSB
812199,Other Personal Care Services,EDWOSB
812210,Funeral Homes and Funeral Services,WOSB
812220,Cemeteries and Crematories,WOSB
812310,Coin-Operated Laundries and Drycleaners,WOSB
812320,Drycleaning and Laundry Services (except Coin-Operated),WOSB
812331,Linen Supply,WOSB
812332,Industrial Launderers,WOSB
812910,Pet Care (except Veterinary) Services,WOSB
812921,Photofinishing Laboratories (except One-Hour),WOSB
812922,One-Hour Photofinishing,WOSB
812930,Parking Lots and Garages,WOSB
812990,All Other Personal Services,WOSB
813110,Religious Organizations,EDWOSB
813211,Grantmaking Foundations,WOSB
813212,Voluntary Health Organizations,WOSB
813219,Other Grantmaking and Giving Services,WOSB
813311,Human Rights Organizations,WOSB
813312,"Environment, Conservation and Wildlife Organizations",WOSB
813319,Other Social Advocacy Organizations,WOSB
813410,Civic and Social Organizations,WOSB
813910,Business Associations,WOSB
813920,Professional Organizations,WOSB
813930,Labor Unions and Similar Labor Organizations,WOSB
813940,Political Organizations,WOSB
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",WOSB
